Name,long_name_y,age,club,overall,potential,value_eur,nationality,Image,Position,Market Value
Kylian Mbappé,Kylian Mbappé,20,Paris Saint-Germain,89,95,93500000,France,https://tmssl.akamaized.net//images/portrait/small/342229-1533629004.jpg?lm=1533629019,Centre-Forward,228000000.0
Raheem Sterling,Raheem Sterling,24,Manchester City,88,90,73000000,England,https://tmssl.akamaized.net//images/portrait/small/134425-1577051521.jpg?lm=1577051537,Left Winger,182400000.0
Neymar,Neymar da Silva Santos Junior,27,Paris Saint-Germain,92,92,105500000,Brazil,https://tmssl.akamaized.net//images/portrait/small/68290-1529677270.jpg?lm=1529677295,Left Winger,182400000.0
Sadio Mané,Sadio Mané,27,Liverpool,88,88,62000000,Senegal,https://tmssl.akamaized.net//images/portrait/small/200512-1559901727.jpg?lm=1559901744,Left Winger,171000000.0
Mohamed Salah,Mohamed  Salah Ghaly,27,Liverpool,90,90,80500000,Egypt,https://tmssl.akamaized.net//images/portrait/small/148455-1546611604.jpg?lm=1546611628,Right Winger,171000000.0
Harry Kane,Harry Kane,25,Tottenham Hotspur,89,91,83000000,England,https://tmssl.akamaized.net//images/portrait/small/132098-1522316722.jpg?lm=1522316737,Centre-Forward,171000000.0
Kevin De Bruyne,Kevin De Bruyne,28,Manchester City,91,91,90000000,Belgium,https://tmssl.akamaized.net//images/portrait/small/88755-1515761259.jpg?lm=1515761270,Attacking Midfield,171000000.0
Lionel Messi,Lionel Andrés Messi Cuccittini,32,FC Barcelona,94,94,95500000,Argentina,https://tmssl.akamaized.net//images/portrait/small/28003-1510231943.jpg?lm=1510231982,Right Winger,159600000.0
Jadon Sancho,Jadon Sancho,19,Borussia Dortmund,84,92,44500000,England,https://tmssl.akamaized.net//images/portrait/small/401173-1567086818.jpg?lm=1567086859,Right Winger,136800000.0
Antoine Griezmann,Antoine Griezmann,28,FC Barcelona,89,89,69000000,France,https://tmssl.akamaized.net//images/portrait/small/125781-1564143733.jpg?lm=1564143749,Centre-Forward,136800000.0
Eden Hazard,Eden Hazard,28,Real Madrid,91,91,90000000,Belgium,https://tmssl.akamaized.net//images/portrait/small/50202-1537861483.jpg?lm=1537861501,Left Winger,136800000.0
Trent Alexander-Arnold,Trent Alexander-Arnold,20,Liverpool,83,89,32000000,England,https://tmssl.akamaized.net//images/portrait/small/314353-1559826986.jpg?lm=1559827000,Right-Back,125400000.0
João Félix,João Félix Sequeira,19,Atlético Madrid,80,93,28000000,Portugal,https://tmssl.akamaized.net//images/portrait/small/462250-1574866535.jpg?lm=1574866574,Second Striker,114000000.0
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,Manchester City,87,90,64000000,Portugal,https://tmssl.akamaized.net//images/portrait/small/241641-1520189140.jpg?lm=1520189153,Right Winger,114000000.0
N'Golo Kanté,N'Golo Kanté,28,Chelsea,89,90,66000000,France,https://tmssl.akamaized.net//images/portrait/small/225083-1448277568.jpg?lm=1448277586,Central Midfield,114000000.0
Leroy Sané,Leroy Sané,23,Manchester City,86,92,61000000,Germany,https://tmssl.akamaized.net//images/portrait/small/192565-1533720545.jpg?lm=1533720579,Left Winger,114000000.0
Virgil van Dijk,Virgil van Dijk,27,Liverpool,90,91,78000000,Netherlands,https://tmssl.akamaized.net//images/portrait/small/139208-1519830937.jpg?lm=1519830949,Centre-Back,114000000.0
Paul Pogba,Paul Pogba,26,Manchester United,88,91,72500000,France,https://tmssl.akamaized.net//images/portrait/small/122153-1477054749.jpg?lm=1477054770,Central Midfield,114000000.0
Jan Oblak,Jan Oblak,26,Atlético Madrid,91,93,77500000,Slovenia,https://tmssl.akamaized.net//images/portrait/small/121483-1447152842.jpg?lm=1447152881,Goalkeeper,114000000.0
Frenkie de Jong,Frenkie de Jong,22,FC Barcelona,85,91,52000000,Netherlands,https://tmssl.akamaized.net//images/portrait/small/326330-1497885202.jpg?lm=1497885221,Central Midfield,102600000.0
Kai Havertz,Kai Havertz,20,Bayer 04 Leverkusen,84,92,46000000,Germany,https://tmssl.akamaized.net//images/portrait/small/309400-1507380300.jpg?lm=1507380342,Attacking Midfield,102600000.0
Dele Alli,Bamidele Alli,23,Tottenham Hotspur,84,89,41500000,England,https://tmssl.akamaized.net//images/portrait/small/207929-1464867581.jpg?lm=1464867595,Attacking Midfield,102600000.0
Saúl Ñíguez,Saúl Ñíguez Esclápez,24,Atlético Madrid,85,89,49500000,Spain,https://tmssl.akamaized.net//images/portrait/small/148928-1447152836.jpg?lm=1447152871,Central Midfield,102600000.0
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,Liverpool,86,87,52000000,Brazil,https://tmssl.akamaized.net//images/portrait/small/131789-1520605270.jpg?lm=1520605283,Centre-Forward,102600000.0
Alisson,Alisson Ramses Becker,26,Liverpool,89,91,58000000,Brazil,https://tmssl.akamaized.net//images/portrait/small/105470-1447747290.jpg?lm=1447747302,Goalkeeper,102600000.0
