Name,Image,Position,Market Value
Kylian Mbappé,https://tmssl.akamaized.net//images/portrait/small/342229-1533629004.jpg?lm=1533629019,Centre-Forward,$228.00m 
Raheem Sterling,https://tmssl.akamaized.net//images/portrait/small/134425-1577051521.jpg?lm=1577051537,Left Winger,$182.40m 
Neymar,https://tmssl.akamaized.net//images/portrait/small/68290-1529677270.jpg?lm=1529677295,Left Winger,$182.40m 
Sadio Mané,https://tmssl.akamaized.net//images/portrait/small/200512-1559901727.jpg?lm=1559901744,Left Winger,$171.00m 
Mohamed Salah,https://tmssl.akamaized.net//images/portrait/small/148455-1546611604.jpg?lm=1546611628,Right Winger,$171.00m 
Harry Kane,https://tmssl.akamaized.net//images/portrait/small/132098-1522316722.jpg?lm=1522316737,Centre-Forward,$171.00m 
Kevin De Bruyne,https://tmssl.akamaized.net//images/portrait/small/88755-1515761259.jpg?lm=1515761270,Attacking Midfield,$171.00m 
Lionel Messi,https://tmssl.akamaized.net//images/portrait/small/28003-1510231943.jpg?lm=1510231982,Right Winger,$159.60m 
Jadon Sancho,https://tmssl.akamaized.net//images/portrait/small/401173-1567086818.jpg?lm=1567086859,Right Winger,$136.80m 
Antoine Griezmann,https://tmssl.akamaized.net//images/portrait/small/125781-1564143733.jpg?lm=1564143749,Centre-Forward,$136.80m 
Eden Hazard,https://tmssl.akamaized.net//images/portrait/small/50202-1537861483.jpg?lm=1537861501,Left Winger,$136.80m 
Trent Alexander-Arnold,https://tmssl.akamaized.net//images/portrait/small/314353-1559826986.jpg?lm=1559827000,Right-Back,$125.40m 
João Félix,https://tmssl.akamaized.net//images/portrait/small/462250-1574866535.jpg?lm=1574866574,Second Striker,$114.00m 
Bernardo Silva,https://tmssl.akamaized.net//images/portrait/small/241641-1520189140.jpg?lm=1520189153,Right Winger,$114.00m 
N'Golo Kanté,https://tmssl.akamaized.net//images/portrait/small/225083-1448277568.jpg?lm=1448277586,Central Midfield,$114.00m 
Leroy Sané,https://tmssl.akamaized.net//images/portrait/small/192565-1533720545.jpg?lm=1533720579,Left Winger,$114.00m 
Virgil van Dijk,https://tmssl.akamaized.net//images/portrait/small/139208-1519830937.jpg?lm=1519830949,Centre-Back,$114.00m 
Paul Pogba,https://tmssl.akamaized.net//images/portrait/small/122153-1477054749.jpg?lm=1477054770,Central Midfield,$114.00m 
Jan Oblak,https://tmssl.akamaized.net//images/portrait/small/121483-1447152842.jpg?lm=1447152881,Goalkeeper,$114.00m 
Frenkie de Jong,https://tmssl.akamaized.net//images/portrait/small/326330-1497885202.jpg?lm=1497885221,Central Midfield,$102.60m 
Kai Havertz,https://tmssl.akamaized.net//images/portrait/small/309400-1507380300.jpg?lm=1507380342,Attacking Midfield,$102.60m 
Dele Alli,https://tmssl.akamaized.net//images/portrait/small/207929-1464867581.jpg?lm=1464867595,Attacking Midfield,$102.60m 
Saúl Ñíguez,https://tmssl.akamaized.net//images/portrait/small/148928-1447152836.jpg?lm=1447152871,Central Midfield,$102.60m 
Roberto Firmino,https://tmssl.akamaized.net//images/portrait/small/131789-1520605270.jpg?lm=1520605283,Centre-Forward,$102.60m 
Alisson,https://tmssl.akamaized.net//images/portrait/small/105470-1447747290.jpg?lm=1447747302,Goalkeeper,$102.60m 
